permit number,lat,long,neighborhood
PAA234613,40.4530913698712,-80.0183995246749,Allegheny West
PAA230392,40.4485793521547,-80.0497110358468,Crafton Heights
PAA234569,40.461427966881,-80.0023458822486,Fineview
PAA230367,40.4406048517784,-79.9965890506309,Central Business District
PAA234499,40.462082277043,-79.8945894342153,Homewood North
PAA234497,40.4583789868153,-79.8983794098048,Homewood North
PAA230545,40.430659195288,-80.0520012366408,Westwood
PAA234512,40.4596089167408,-79.8934117209513,Homewood North
PAA234528,40.4156586808779,-79.991388998211,Knoxville
PAA230593,40.4404243018825,-79.9864331484183,Central Business District
PAA234556,40.4536012242942,-79.897606749369,Homewood South
PAA230504,40.4444164257088,-79.958171504484,North Oakland
PAA230596,40.4412085391936,-80.0005561215261,Central Business District
PAA232009,40.4413629674267,-79.9948560626431,Central Business District
PAA232018,40.4411838663137,-80.009816813005,Central Business District
PAA234476,40.4904902459159,-80.0277510714207,Brighton Heights
DEM230043,40.4605287087405,-79.9875418208778,Spring Garden
PAA232117,40.4406048517784,-79.9965890506309,Central Business District
PAA234615,40.4422341420667,-80.0045902640842,Central Business District
PAA234377,40.4589740185135,-79.8889685901583,Homewood North
PAA230576,40.445934557419,-79.9230392950852,Squirrel Hill North
DEM230088,40.4681356244122,-80.0346034245423,Marshall-Shadeland
DEM230128,40.4476704713631,-80.0813175565356,Fairywood
PAA230357,40.4444506114595,-79.9577127980543,North Oakland
PAA234374,40.4575042265969,-79.8937841049223,Homewood North
PAA230358,40.4445093299916,-79.9569959117326,North Oakland
PAA234526,40.4132003569471,-80.0226392466996,Beechview
PAA230587,40.4403592216973,-79.9614238732971,West Oakland
DEM230080,40.44232324079,-79.9968284928863,Central Business District
PAA230417,40.4461195669321,-79.9510604617804,North Oakland
PAA230581,40.457069446526,-80.0036975361617,Central Northside
PAA234472,40.4776469110182,-80.0273322822235,Marshall-Shadeland
PAA230606,40.4360439740714,-79.9854587006851,Bluff
PAA232583,40.4499515113257,-80.0051135265977,Allegheny Center
PAA230422,40.4422470230786,-79.9609286975283,West Oakland
DEM230039,40.460272289531,-79.9882062786915,Spring Garden
PAA230276,40.4621317678598,-79.9462630434165,Bloomfield
PAA230404,40.3877921195565,-80.0068241907116,Overbrook
PAA230414,40.4404181801422,-79.9590300798034,Central Oakland
PAA230252,40.4459172827447,-79.9576925149936,North Oakland
PAA230516,40.4055498648635,-80.0139352174283,Brookline
DEM230040,40.4603257101196,-79.9880567051119,Spring Garden
PAA230574,40.4454464220957,-79.9572152598166,North Oakland
PAA234564,40.4520794928613,-79.9303699879541,Shadyside
PAA234470,40.4755159387673,-80.032078650126,Marshall-Shadeland
PAA230539,40.4425805203367,-79.9617920984077,West Oakland
PAA230343,40.4318637883005,-79.9249537408965,Squirrel Hill South
DEM230042,40.4607152362094,-79.9876087639147,Spring Garden
PAA234471,40.4786661881987,-80.0090513281348,Perry North
PAA234464,40.4451469961261,-79.9834601284377,Crawford-Roberts
PAA230575,40.482489405321,-80.0207968505848,Perry North
PAA234505,40.4479364041078,-80.0254579274345,Chateau
